"Year","ENSO","NPGO","NPI","PDO","Upwelling"
1975,-1.30608333333333,0.798500536666667,1013.87166666667,-1.10166666666667,14.3555555555556
1976,-0.108083333333333,1.86321135,1011.98083333333,0.00833333333333333,4.79444444444444
1977,0.612916666666667,1.24927034083333,1013.45363636364,0.230833333333333,14.7333333333333
1978,0.11275,0.504466635833333,1011.88416666667,0.235833333333333,10.8666666666667
1979,0.515,-0.737188575,1012.52333333333,0.335,12.1444444444444
1980,0.552666666666667,-0.749107275833333,1012.35,0.6025,7.67777777777778
1981,0.0645,-0.221840562241667,1012.33,0.918333333333333,2.35555555555556
1982,1.09908333333333,-0.686691380833333,1013.625,0.114166666666667,7.17777777777778
1983,1.61058333333333,-0.09206469425,1011.61545454545,1.64833333333333,-12.6166666666667
1984,-0.1405,0.620750036666667,1011.87083333333,0.8375,8.38888888888889
1985,-0.39075,-0.393901047083333,1013.44833333333,0.449166666666667,6.41666666666667
1986,0.450333333333333,-0.732847288333333,1010.7475,1.23916666666667,-10.8222222222222
1987,1.6705,0.429174729166667,1011.61,1.82083333333333,0.0611111111111111
1988,-0.5,1.32363676333333,1011.80583333333,0.531666666666667,5.67777777777778
1989,-0.534166666666667,0.612240616666667,1014.37083333333,-0.179166666666667,17.4111111111111
1990,0.410083333333333,-0.201546121083333,1014.355,-0.355833333333333,10.7444444444444
1991,0.811,-0.498914711166667,1011.91083333333,-0.419166666666667,10.9555555555556
1992,1.31558333333333,-1.09491887,1013.06090909091,0.928333333333333,-5.57777777777778
1993,1.10841666666667,-1.90199258833333,1011.6375,1.41666666666667,4.67222222222222
1994,0.752333333333333,-1.2115987825,1013.23416666667,-0.151666666666667,11.1777777777778
1995,0.221083333333333,-1.03920854583333,1012.01545454545,0.6425,-6.12777777777778
1996,-0.320583333333333,-0.972836611666667,1013.0575,0.640833333333333,11.1833333333333
1997,1.58258333333333,-0.657690615833333,1011.36416666667,1.46083333333333,4.07777777777778
1998,0.885166666666667,0.544553282666667,1011.91416666667,0.245833333333333,5.24444444444444
1999,-0.906083333333333,1.51578051666667,1013.15833333333,-1.06333333333333,12.3388888888889
2000,-0.5095,1.88586129166667,1011.7625,-0.59,6.95555555555556
2001,-0.128,2.080693375,1012.17416666667,-0.5625,10.2388888888889
2002,0.619,1.47359396,1012.04333333333,0.220833333333333,15.5277777777778
2003,0.480083333333333,0.958507189166667,1013.01727272727,0.969166666666667,4.01666666666667
2004,0.442083333333333,0.209460249333333,1011.82416666667,0.345,-12.0944444444444
2005,0.340416666666667,-1.38088175166667,1012.34363636364,0.375,3.38888888888889
2006,0.331416666666667,-0.5539859525,1014.05833333333,0.190833333333333,8.41666666666667
2007,-0.293166666666667,0.5933671275,1012.26833333333,-0.195833333333333,13.4222222222222
2008,-0.640166666666667,1.45521994416667,1013.66333333333,-1.2925,10.2611111111111
2009,0.412833333333333,0.736530763333333,1013.31166666667,-0.6125,5.03333333333333
2010,-0.37075,1.36991890666667,1012.66333333333,-0.3125,-6.23888888888889
2011,-0.872833333333333,0.857410758333333,1012.88666666667,-1.23083333333333,19.4944444444444
2012,0.1785,1.47684470083333,1013.25,-1.1,15.8055555555556
2013,-0.11975,0.344294364166667,1013.43666666667,-0.5175,30.8388888888889
2014,0.4915,-0.24952312,1011.32583333333,1.13083333333333,7.22222222222222
2015,1.63658333333333,-1.40685621666667,1010.3925,1.63416666666667,8.91666666666667
