LAT LONG YEAR         JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
60N 149W 1969        -155  -86  -16  -22   -0   10    9   -0  -11  -46  -85 -139
60N 149W 1970        -211  -84  -23    0   -1    8    6    6   -7  -24  -82 -122
60N 149W 1971        -324  -64  -99  -12    0    7    9    0   -2   -2  -66  -25
60N 149W 1972         -98 -252  -93  -12    0   10    3    3   -0   -5  -48 -100
60N 149W 1973        -132  -84   -5   -6  -13    4    9    8   -4  -20  -71 -104
60N 149W 1974        -142 -180  -62  -14    0    5   12    2  -11  -32  -41  -50
60N 149W 1975         -85  -66  -20   -3   -6    8    2    0    3  -36 -119  -97
60N 149W 1976         -85  -91  -10  -16   -2    4    2   -1  -17  -12  -68  -94
60N 149W 1977         -91  -82  -13   -5    3    3    1    1    7  -40  -70 -117
60N 149W 1978        -120 -141  -45   -5   -3   32    9    2   -4  -10  -25  -13
60N 149W 1979         -67 -313  -37    1   -3    5    0    4  -20  -30  -14  -76
60N 149W 1980        -130  -77  -22  -45   -3   13   10    7  -10  -37  -65 -203
60N 149W 1981        -102  -38  -58  -16   -5    4   13    0  -14  -10  -70  -84
60N 149W 1982        -191 -187  -15  -24   -1    4    8    1    2  -41  -53 -146
60N 149W 1983        -268 -136 -111    1   -6   -2    1    1   -1  -22  -84  -76
60N 149W 1984         -71 -141  -59  -16   -2    1   -0   -0  -24  -46  -59  -32
60N 149W 1985         -76  -88  -20  -23    1   -1    3    6    7  -26  -42  -97
60N 149W 1986        -161  -76  -90  -24   -1   -1    7    6    0  -38  -77  -72
60N 149W 1987         -80  -92  -61  -27   -3  -19    5    0   -5   -7  -52  -31
60N 149W 1988         -84 -103  -56  -26   -5   -2    4    1   -4  -52 -109  -36
60N 149W 1989        -107  -17 -106  -10    2    1    4    5    7  -18  -58  -60
60N 149W 1990         -49  -93  -46  -14    1    5    8    1    7  -11 -103  -23
60N 149W 1991         -36  -64    1  -34   -2    8    3   -1   -3  -17 -131  -27
60N 149W 1992         -92  -87  -17  -44   -2    7    4    5  -14  -29  -21  -19
60N 149W 1993          -7  -51  -41  -35   -3    5    7    9   29   -8   -5  -51
60N 149W 1994         -92  -88  -29  -11   -9    3    4    6   -8  -29  -26  -73
60N 149W 1995         -86  -57 -107  -18   -1    0    5    1   -8  -25 -140 -162
60N 149W 1996         -87  -34  -24  -38    1    2    5    0   -2  -73  -51 -147
60N 149W 1997        -106  -36 -112  -16    3    8    2    1   -5  -87  -47  -45
60N 149W 1998        -185 -133  -25   -7   15   12    3    4   -1  -24  -38  -87
60N 149W 1999         -95 -167  -42   -4   -1   -1    6   -2   -7  -26 -108  -42
60N 149W 2000         -52  -30  -37  -26   -7    1    7   -1   -9  -50  -39  -78
60N 149W 2001         -73  -17  -43   -4   -2    1    8   -5   -8  -10  -77  -90
60N 149W 2002         -34  -33  -33   -2    0    1    7    6    1  -11  -55  -31
60N 149W 2003         -80  -14  -89  -14   -1    1    7    0  -22  -30  -13  -86
60N 149W 2004        -188  -59  -28  -24    2    1    2   -3   -2   -4  -14  -83
60N 149W 2005        -122  -46  -68  -40   -5    1    3    1    5  -43 -157 -134
60N 149W 2006        -178   -2 -104  -20   -2    3   10    8   -4    2 -229 -128
60N 149W 2007         -38 -108 -221  -73   -5    3    1    1    2  -38  -62  -99
60N 149W 2008         -64 -205 -116   -1   -9    8    7   -9  -17  -49  -85  -87
60N 149W 2009        -116  -14  -90   -7   -5    5   10    0  -21  -21  -32  -35
60N 149W 2010        -154  -59  -33   -2    2    0   11    6   -7  -24  -22 -108
60N 149W 2011         -28  -38  -49   -3   -4   13    4   -2  -23   -9  -37   12
60N 149W 2012         -71  -15  -17   -6   -4    6    4    1    7  -27 -179  -71
60N 149W 2013         -35  -21  -12  -27    0    4   13    2   -8   12  -26  -41
60N 149W 2014         -33  -68  -25  -17    0    3    2   -3   -3  -35  -53  -41
60N 149W 2015         -79  -68  -27  -13    5    4    8    1    0  -40   -2  -59
