LAT LONG YEAR         JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
60N 149W 1946         -24  -72  -28   -9   -2    2    0    6  -16   15  -61  -71
60N 149W 1947         -63  -97  -18  -15   -1    0    9    6   -1  -43  -28  -15
60N 149W 1948         -31  -84  -31  -25   -3    7   13    5   -0   -8  -73  -39
60N 149W 1949         -13  -79   -7  -20    0    7    3    2   -2   -8  -49  -63
60N 149W 1950         -42 -383  -38  -26   -3   -0   -0   -1   -3  -21 -164  -90
60N 149W 1951        -127  -16  -76   -1    0   10    4    9   -8  -28  -52  -24
60N 149W 1952        -205  -69  -15   -8   -1    3   10    0   -9  -15  -28 -113
60N 149W 1953        -273  -36  -43  -15    1    1    1   10   -3  -54  -86  -67
60N 149W 1954        -199  -93   -4  -30   -3   -2    3   12   -1  -23  -44 -112
60N 149W 1955         -41  -53   -9   -5    0   11    7    6   -2  -10 -132 -151
60N 149W 1956        -264  -54  -44   -5    9    3    4    2    2  -20  -40 -211
60N 149W 1957         -15  -59  -29   -9   -8    1    3    3   -8  -25  -30  -66
60N 149W 1958        -103 -202  -12   -6    4   13    8   -5    1  -40  -40 -148
60N 149W 1959        -348  -12 -101   -5   -2    1    9    4   -3  -31  -66  -45
60N 149W 1960         -48  -50 -144  -18   -2    0    3    4    2  -29  -76  -53
60N 149W 1961        -114 -113 -102   -5   -3   -3    7    7   12  -12  -55 -192
60N 149W 1962        -130  -22  -23  -45    0    5    2    9   -4  -15 -125 -155
60N 149W 1963         -44 -172  -10   -1   -1   25   17   22  -28  -50 -204 -106
60N 149W 1964        -136  -17  -62   -0   -5    4    4   -1   -2  -13  -80 -209
60N 149W 1965        -185 -101   -4   -7    7   13    0    6   27  -76  -61  -76
60N 149W 1966        -281  -19 -130   -4   13   12   11    4  -11   -9  -53 -207
60N 149W 1967        -165  -78  -29    5   -0   17    8   11  -23  -25   -3  -47
60N 149W 1968        -138 -118  -41   -1   -0    0    1   -1  -12  -27  -79 -138
