"","Year","ENSO","NPGO","NPI","PDO","Upwelling"
"1",1981,0.114714285714286,-0.405153232766667,1011.056,1.32166666666667,10.1666666666667
"2",1982,0.381142857142857,-0.767650978333333,1013.97833333333,-0.136666666666667,-23
"3",1983,2.56857142857143,-0.00540549483333334,1009.978,1.64,-41
"4",1984,-0.0574285714285714,0.630639626666667,1010.87833333333,1.24666666666667,-2
"5",1985,-0.476428571428571,0.1535964075,1013.33,0.525,11.5
"6",1986,0.0665714285714286,-0.802509506666667,1009.48,1.41833333333333,-12.8333333333333
"7",1987,1.71185714285714,0.479847296666667,1009.95166666667,1.745,-1
"8",1988,0.143571428571429,1.32746414833333,1010.42166666667,1.07833333333333,0
"9",1989,-0.768285714285714,0.79884004,1015.065,-0.381666666666667,6.5
"10",1990,0.487857142857143,0.1202315945,1013.51833333333,-0.07,13.3333333333333
"11",1991,0.626142857142857,-0.418245185666667,1011.65833333333,-1.15666666666667,24.8333333333333
"12",1992,1.82514285714286,-0.894023006666667,1012.182,0.763333333333333,6.83333333333333
"13",1993,1.26042857142857,-1.70501331,1009.67166666667,1.11333333333333,24
"14",1994,0.489428571428571,-1.341417395,1012.58833333333,0.89,8.33333333333333
"15",1995,0.685714285714286,-1.41529128833333,1010.50666666667,0.713333333333333,1.16666666666667
"16",1996,-0.303,-0.93526038,1011.555,1.18166666666667,16
"17",1997,0.784428571428571,-0.948845663333333,1010.05833333333,1.13333333333333,2.66666666666667
"18",1998,2.08557142857143,0.706567991666667,1009.61833333333,1.12833333333333,-8.5
"19",1999,-0.828428571428571,1.75293955,1012.295,-0.616666666666667,-29.1666666666667
"20",2000,-0.575714285714286,2.06082765,1011.18,-0.446666666666667,20.5
"21",2001,-0.189142857142857,2.4523157,1011.85166666667,0.0433333333333333,22.6666666666667
"22",2002,0.357857142857143,1.59086281,1013.15,-0.35,29
"23",2003,0.526285714285714,1.20852203333333,1012.402,1.35,13.1666666666667
"24",2004,0.322,0.404042408333333,1010.70166666667,0.501666666666667,-3.5
"25",2005,0.675428571428571,-1.40080160166667,1010.15666666667,1.11166666666667,-1
"26",2006,-0.110142857142857,-0.541809103333333,1014.27166666667,0.61,-4.83333333333333
"27",2007,0.203571428571429,0.18151103,1011.84666666667,-0.0266666666666667,-27.8333333333333
"28",2008,-0.708714285714286,1.24637628333333,1012.94,-1.11833333333333,-18.6666666666667
"29",2009,0.00571428571428569,0.551859743333333,1014.47833333333,-1.23,8.33333333333333
"30",2010,0.601714285714286,1.63795871666667,1010.56,0.545,4.66666666666667
"31",2011,-0.952714285714286,0.863584583333333,1012.17166666667,-0.653333333333333,27.8333333333333
"32",2012,0.11,1.383939255,1012.30833333333,-0.946666666666667,28.1666666666667
"33",2013,-0.0694285714285714,0.855955628333333,1012.94166666667,-0.341666666666667,30.6666666666667
