Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1970,12,22.615,19.446,18.136,11.056,10.764,3.396,1.056,10.249,18.389,14.741,1.309,2.339,11.170,5.160,-2.785,0
1971,1,22.215,18.934,17.917,10.276,10.197,2.474,0.456,9.695,18.478,15.440,1.020,2.021,11.180,4.890,-4.485,0
1971,2,23.015,19.265,18.376,10.686,10.676,2.976,1.214,10.240,18.051,15.400,0.889,1.759,11.310,4.950,-4.485,0
1971,3,23.914,18.816,17.986,10.285,10.184,2.395,0.856,9.836,17.959,15.591,0.830,1.539,11.250,4.930,-3.885,0
1971,4,22.917,18.934,18.215,10.696,10.696,3.176,1.434,10.184,17.500,15.039,0.719,1.739,11.340,4.870,-4.383,0
1971,5,21.716,18.625,17.825,10.574,10.486,3.156,1.214,9.921,17.411,14.669,0.801,1.939,11.320,4.890,-3.586,0
1971,6,21.115,18.615,17.595,10.394,10.325,3.054,1.056,9.836,17.559,14.541,1.020,2.001,11.300,4.930,-2.283,0
1971,7,20.715,18.586,17.526,10.394,10.335,3.146,1.296,9.941,17.290,14.380,1.060,1.850,11.310,4.910,-2.884,0
1971,8,22.215,19.075,18.084,10.814,10.784,3.484,1.877,10.476,17.198,14.600,0.991,1.611,11.260,4.940,-3.084,0
1971,9,24.416,19.177,18.415,10.866,10.827,3.245,1.755,10.466,17.421,15.171,0.761,1.490,11.290,4.950,-2.283,0
1971,10,24.314,19.324,18.665,11.024,10.906,3.146,1.716,10.518,17.608,15.518,0.659,1.430,11.410,4.930,-3.586,0
1971,11,23.215,19.436,18.474,10.886,10.837,3.215,1.204,10.322,18.232,15.259,0.961,2.011,11.210,4.910,-4.783,0
1971,12,23.314,19.104,18.054,10.476,10.446,2.835,0.545,9.823,18.560,15.220,1.050,2.290,11.230,4.970,-3.484,0
1972,1,21.316,18.665,17.674,10.026,9.974,2.274,0.256,9.462,18.409,15.400,0.991,2.021,11.220,4.900,-4.085,0
1972,2,21.916,18.734,17.966,10.354,10.276,2.575,1.106,9.921,17.628,15.390,0.771,1.470,11.270,4.870,-2.884,0
1972,3,23.117,18.675,18.025,10.256,10.197,2.356,1.086,9.882,17.589,15.669,0.650,1.270,11.260,4.860,-3.386,0
1972,4,22.917,18.494,17.776,10.226,10.197,2.625,0.994,9.744,17.500,15.151,0.719,1.631,11.260,4.830,-4.885,0
1972,5,22.815,18.455,17.546,10.174,10.095,2.654,0.627,9.541,17.828,14.888,0.909,2.031,11.230,4.850,-4.583,0
1972,6,22.014,18.547,17.575,10.335,10.164,2.756,0.676,9.613,17.871,14.820,0.971,2.080,11.260,4.910,-3.986,0
1972,7,21.916,18.724,17.756,10.135,10.056,2.356,0.584,9.652,18.140,15.400,0.971,1.768,11.180,4.820,-2.884,0
1972,8,22.615,19.367,18.435,10.784,10.696,2.956,1.434,10.400,17.933,15.469,0.928,1.529,11.160,4.800,-2.484,0
