Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1972,9,22.917,18.967,18.186,10.604,10.436,2.674,1.155,10.059,17.812,15.509,0.781,1.519,11.230,4.840,-3.684,0
1972,10,24.216,18.825,18.127,10.594,10.436,2.746,1.214,10.020,17.612,15.381,0.699,1.529,11.200,5.100,-3.885,0
1972,11,24.915,19.544,18.586,11.106,10.955,3.314,1.447,10.495,18.097,15.269,0.961,1.870,11.240,4.890,-2.986,0
1972,12,23.215,19.245,18.176,10.827,10.735,3.284,1.184,10.217,18.061,14.888,1.070,2.100,11.330,4.980,-3.986,0
1973,1,,19.367,18.356,10.896,10.794,3.235,1.204,10.285,18.163,15.121,1.010,2.031,,,,11
1973,2,22.717,19.085,18.235,10.617,10.495,2.766,1.247,10.164,17.838,15.469,0.850,1.519,11.370,4.980,-2.283,0
1973,3,22.316,18.947,18.245,10.814,10.715,3.176,1.834,10.390,17.113,15.069,0.699,1.339,,,-0.784,0
1973,4,,18.684,18.045,10.315,10.256,2.464,0.915,9.800,17.769,15.581,0.640,1.549,,,,11
1973,5,22.717,18.894,18.074,10.476,10.394,2.717,0.794,9.843,18.100,15.361,0.820,1.919,11.440,4.990,-4.285,0
1973,6,,19.055,18.074,10.495,10.495,2.927,0.866,9.961,18.189,15.151,0.981,2.060,,,,11
1973,7,22.516,18.904,17.966,10.115,10.105,2.234,0.374,9.639,18.530,15.732,0.942,1.860,11.280,4.960,-3.885,0
1973,8,21.916,18.845,18.074,10.154,10.085,2.096,0.755,9.800,18.091,15.981,0.771,1.339,11.320,4.990,-3.084,0
1973,9,22.815,18.957,18.284,10.604,10.476,2.654,1.404,10.180,17.552,15.630,0.669,1.250,11.470,5.000,-1.785,0
1973,10,22.615,19.255,18.606,11.096,11.014,3.435,1.867,10.561,17.388,15.171,0.650,1.572,11.230,4.940,-2.585,0
1973,11,,19.075,18.104,10.617,10.535,2.966,1.066,10.072,18.009,15.141,0.971,1.900,,,,11
1973,12,,19.565,18.505,11.155,11.035,3.565,1.405,10.485,18.160,14.940,1.060,2.160,,,,11
1974,1,23.015,18.684,17.736,10.315,10.095,2.454,0.466,9.573,18.219,15.279,0.951,1.991,,,-4.783,0
1974,2,,19.335,18.475,10.765,10.665,2.855,1.195,10.265,18.140,15.620,0.860,1.660,,,,11
1974,3,,18.845,18.064,10.466,10.354,2.644,1.194,10.020,17.651,15.420,0.781,1.450,,,,11
1974,4,,18.757,18.074,10.515,10.394,2.717,1.096,9.928,17.661,15.361,0.679,1.621,,,,11
1974,5,,18.724,17.874,10.407,10.305,2.736,0.774,9.751,17.949,15.141,0.850,1.959,,,,11
1974,6,22.215,18.976,18.064,10.584,10.476,2.894,0.896,9.934,18.081,15.171,0.909,2.001,11.270,4.870,-3.786,0
1974,7,22.917,18.734,17.815,10.276,10.236,2.644,0.774,9.754,17.959,15.171,0.919,1.870,11.360,5.000,-4.085,0
1974,8,22.516,18.734,17.927,10.495,10.174,2.425,0.945,9.839,17.789,15.499,0.810,1.480,11.300,4.990,-4.285,0
1974,9,23.415,19.026,18.314,10.676,10.446,2.575,1.434,10.230,17.592,15.741,0.709,1.138,11.470,4.970,-3.084,0
1974,10,23.515,19.695,18.986,11.316,11.076,3.166,1.545,10.620,18.150,15.820,0.709,1.621,,,,11
1974,11,,19.974,19.134,11.434,11.296,3.465,1.506,10.741,18.468,15.669,0.840,1.959,,,-2.484,0
1974,12,23.314,20.236,19.236,11.585,11.365,3.494,1.385,10.810,18.852,15.741,1.001,2.110,11.450,4.800,-3.284,0
1975,1,22.215,19.606,18.655,10.784,10.535,2.415,0.617,10.112,18.990,16.240,0.951,1.801,11.320,4.820,-5.384,0
1975,2,24.216,19.554,18.734,10.984,10.784,2.844,1.385,10.469,18.169,15.889,0.820,1.460,11.410,4.910,-3.284,0
1975,3,23.816,19.295,18.537,10.486,10.354,2.175,0.896,10.095,18.399,16.362,0.761,1.280,11.300,4.840,-4.186,0
1975,4,23.514,18.665,17.995,10.207,10.135,2.274,0.755,9.711,17.910,15.719,0.669,1.519,11.080,4.830,-3.786,0
1975,5,21.316,18.714,17.966,10.335,10.236,2.497,0.774,9.744,17.940,15.469,0.751,1.719,11.230,4.950,-3.084,0
1975,6,21.115,18.645,17.726,10.197,10.095,2.464,0.725,9.685,17.920,15.259,0.919,1.739,11.220,4.940,-2.385,0
1975,7,20.915,18.835,17.864,10.394,10.276,2.674,1.145,9.997,17.690,15.190,0.971,1.529,11.180,4.880,-2.985,0
1975,8,22.615,18.967,18.074,10.466,10.384,2.684,1.345,10.157,17.621,15.390,0.889,1.339,11.210,4.870,-3.786,0
1975,9,23.615,19.206,18.484,10.636,10.554,2.615,1.476,10.341,17.730,15.869,0.719,1.138,11.190,4.890,-3.284,0
1975,10,,19.954,19.265,11.194,11.115,2.966,1.365,10.659,18.589,16.299,0.689,1.601,,,,11
1975,11,24.114,19.836,18.976,11.004,10.945,2.907,1.224,10.531,18.612,16.070,0.860,1.680,11.190,4.920,-3.586,0
1975,12,22.415,19.675,18.606,10.686,10.636,2.654,0.646,10.161,19.029,15.951,1.070,2.011,11.220,4.890,-3.684,0
1976,1,22.966,19.836,18.967,11.037,10.945,2.927,1.214,10.525,18.622,16.040,0.869,1.709,11.240,4.890,-3.176,0
1976,2,22.894,19.055,18.376,10.505,10.394,2.415,1.214,10.135,17.841,15.961,0.679,1.201,11.250,4.920,-3.005,0
1976,3,24.324,19.006,18.474,10.476,10.354,2.244,1.306,10.157,17.700,16.240,0.531,0.928,11.180,4.840,-3.235,0
1976,4,24.275,19.104,18.435,10.627,10.515,2.605,1.316,10.210,17.789,15.830,0.669,1.289,11.230,4.890,-4.734,0
1976,5,23.314,19.265,18.455,10.676,10.584,2.726,1.004,10.135,18.261,15.732,0.810,1.719,11.150,4.840,-4.495,0
1976,6,22.595,18.976,18.084,10.354,10.295,2.507,0.745,9.862,18.232,15.581,0.889,1.759,11.150,4.850,-3.366,0
1976,7,21.985,19.446,18.586,10.676,10.574,2.566,1.056,10.256,18.389,16.020,0.860,1.509,11.190,4.890,-2.475,0
1976,8,23.225,19.656,18.855,10.866,10.774,2.697,1.585,10.620,18.071,16.161,0.801,1.109,11.060,4.750,-1.506,0
1976,9,24.564,19.925,19.285,11.355,11.234,3.186,1.965,10.945,17.959,16.099,0.640,1.220,11.090,4.770,-2.316,0
1976,10,24.606,19.534,18.947,11.096,11.004,3.054,1.706,10.620,17.828,15.879,0.587,1.362,11.170,4.820,-4.104,0
1976,11,25.164,20.354,19.554,11.726,11.644,3.747,2.126,11.240,18.228,15.810,0.801,1.621,11.250,4.910,-3.264,0
1976,12,24.646,20.256,19.255,11.624,11.555,3.865,2.024,11.142,18.232,15.390,1.001,1.841,11.270,4.930,-2.894,0
1977,1,23.625,20.125,19.144,11.434,11.365,3.586,1.785,10.955,18.340,15.561,0.981,1.801,11.210,4.850,-2.375,0
1977,2,,20.456,19.705,11.785,11.706,3.704,2.405,11.430,18.051,16.001,0.751,1.299,,,,11
1977,3,23.555,19.236,18.714,10.837,10.755,2.805,1.604,10.417,17.631,15.909,0.518,1.201,11.200,4.900,-1.095,0
1977,4,23.094,19.196,18.625,10.584,10.495,2.375,1.155,10.177,18.041,16.250,0.571,1.220,11.230,4.930,-4.186,0
1977,5,23.786,19.416,18.655,10.594,10.495,2.336,0.794,10.105,18.622,16.319,0.761,1.539,11.120,4.790,-4.304,0
1977,6,23.335,19.436,18.556,10.594,10.525,2.497,0.725,10.075,18.711,16.060,0.879,1.768,11.180,4.880,-4.255,0
1977,7,23.295,19.636,18.786,10.646,10.564,2.356,0.696,10.164,18.940,16.430,0.850,1.660,11.190,4.880,-3.835,0
1977,8,22.615,19.675,18.986,10.856,10.725,2.474,1.257,10.466,18.419,16.509,0.689,1.220,11.130,4.820,-2.625,0
1977,9,22.335,19.386,18.806,10.774,10.666,2.526,1.496,10.436,17.890,16.280,0.581,1.030,11.190,4.890,-1.635,0
1977,10,24.835,20.207,19.665,11.814,11.736,3.806,2.434,11.316,17.769,15.860,0.541,1.371,11.080,4.740,-2.285,0
1977,11,25.135,19.754,19.104,11.296,11.224,3.346,1.677,10.715,18.077,15.761,0.650,1.670,11.140,4.820,-2.664,0
1977,12,24.715,19.675,18.865,11.106,11.024,3.196,1.365,10.515,18.310,15.669,0.810,1.831,11.210,4.890,-3.355,0
1978,1,24.795,20.085,19.186,11.335,11.234,3.284,1.716,10.896,18.369,15.899,0.899,1.572,11.200,4.830,-3.385,0
1978,2,24.205,20.656,19.934,11.824,11.736,3.537,2.254,11.457,18.399,16.401,0.719,1.280,11.320,4.820,-2.935,0
1978,3,23.575,20.016,19.465,11.496,11.394,3.337,2.175,11.096,17.841,16.129,0.551,1.161,11.270,4.910,-1.205,0
1978,4,23.375,19.656,19.245,11.234,11.145,3.045,1.696,10.676,17.959,16.201,0.410,1.348,11.190,4.860,-2.215,0
1978,5,24.035,19.954,19.295,11.375,11.306,3.314,1.795,10.876,18.159,15.981,0.659,1.519,11.310,4.970,-3.035,0
1978,6,23.474,19.544,18.747,10.945,10.846,2.956,1.257,10.400,18.278,15.791,0.801,1.699,,,-3.806,0
1978,7,22.766,18.694,17.884,10.144,10.066,2.244,0.564,9.629,18.130,15.640,0.820,1.680,11.280,4.960,-4.724,0
1978,8,22.707,18.885,18.215,10.354,10.266,2.326,0.896,9.888,17.989,15.889,0.669,1.430,11.240,4.920,-4.245,0
1978,9,,19.335,18.785,10.765,10.715,2.645,1.495,10.415,17.840,16.140,0.550,1.150,,,,11
1978,10,23.345,19.744,19.177,11.145,11.047,2.917,1.696,10.715,18.051,16.260,0.571,1.220,11.170,4.850,-1.605,0
1978,11,22.945,19.344,18.586,10.594,10.505,2.434,0.745,10.046,18.599,16.152,0.761,1.690,11.140,4.820,-2.785,0
1978,12,23.485,19.616,18.655,10.594,10.525,2.405,0.436,10.026,19.180,16.250,0.961,1.969,11.060,4.730,-4.185,0
1979,1,22.875,19.787,18.894,10.696,10.574,2.264,0.515,10.154,19.268,16.631,0.889,1.749,11.110,4.770,-5.475,0
1979,2,23.225,19.055,18.264,10.276,10.174,2.096,0.764,9.915,18.291,16.171,0.791,1.329,11.220,4.890,-4.035,0
1979,3,23.255,19.426,18.835,10.604,10.466,2.106,1.004,10.217,18.419,16.729,0.591,1.099,11.240,4.900,-3.845,0
1979,4,21.755,18.435,17.894,9.895,9.787,1.686,0.335,9.386,18.100,16.211,0.541,1.348,11.240,4.900,-3.995,0
1979,5,21.645,18.665,17.956,10.236,10.135,2.316,0.666,9.665,17.999,15.640,0.709,1.650,11.190,4.870,-2.695,0
1979,6,21.125,18.484,17.655,9.974,9.885,2.116,0.354,9.416,18.130,15.541,0.830,1.759,11.190,4.900,-3.985,0
1979,7,22.546,18.895,18.015,10.315,10.215,2.415,0.895,9.895,18.000,15.600,0.880,1.520,,,-3.855,11
1979,8,23.145,18.957,18.117,10.364,10.256,2.405,1.125,10.036,17.831,15.709,0.840,1.280,11.260,4.930,-3.985,0
1979,9,23.485,19.386,18.766,10.876,10.755,2.756,1.657,10.515,17.730,16.010,0.620,1.099,11.320,5.000,-4.015,0
1979,10,24.085,19.944,19.436,11.424,11.345,3.245,2.116,11.037,17.831,16.191,0.509,1.129,11.430,5.100,-3.175,0
1979,11,23.125,19.964,19.216,11.184,11.096,2.976,1.457,10.705,18.510,16.240,0.751,1.529,11.340,5.030,-4.125,0
1979,12,23.395,19.724,18.776,10.837,10.774,2.776,0.915,10.315,18.819,16.001,0.951,1.860,11.290,4.980,-2.785,0
1980,1,23.366,19.344,18.484,10.594,10.525,2.556,0.774,10.066,18.570,15.928,0.860,1.781,11.270,4.900,-3.274,0
1980,2,23.356,19.616,18.957,11.014,10.915,2.874,1.565,10.584,18.061,16.079,0.659,1.319,11.280,4.980,-4.226,0
1980,3,,19.135,18.585,10.545,10.545,2.475,1.405,10.275,17.730,16.110,0.550,1.070,,,,11
1980,4,24.265,19.386,18.845,10.925,10.804,2.766,1.624,10.505,17.759,16.079,0.541,1.138,11.300,4.960,-3.816,0
1980,5,22.835,18.986,18.232,10.361,10.269,2.306,0.732,9.859,18.255,15.925,0.755,1.575,11.270,4.950,-4.265,0
1980,6,21.906,18.556,17.707,9.964,9.875,2.054,0.295,9.426,18.261,15.659,0.850,1.759,11.230,4.940,-3.215,0
1980,7,21.975,18.894,18.094,10.174,10.075,2.054,0.407,9.646,18.481,16.030,0.801,1.650,11.180,4.890,-2.864,0
1980,8,22.244,18.845,18.156,10.154,10.036,1.916,0.705,9.774,18.150,16.240,0.689,1.211,11.290,4.990,-3.786,0
1980,9,24.196,19.114,18.547,10.594,10.417,2.297,1.106,10.105,18.018,16.250,0.571,1.191,11.250,4.940,-2.956,0
1980,10,25.075,19.406,18.924,11.135,11.024,3.117,1.686,10.545,17.720,15.820,0.479,1.421,11.270,4.930,-3.855,0
1980,11,24.675,19.774,19.016,11.266,11.184,3.346,1.716,10.745,18.051,15.669,0.751,1.631,11.270,4.950,-3.533,0
1980,12,22.346,19.006,18.104,10.617,10.446,2.785,0.984,9.997,18.009,15.322,0.889,1.801,11.310,5.030,-3.996,0
1981,1,23.133,20.082,19.203,11.654,11.581,3.973,2.093,11.083,17.989,15.230,0.879,1.880,11.270,4.930,-2.198,0
1981,2,21.844,19.511,18.711,10.741,10.623,2.533,0.981,10.243,18.530,16.181,0.801,1.549,11.130,4.830,-3.038,0
1981,3,23.222,19.101,18.563,10.863,10.761,2.972,1.634,10.371,17.470,15.591,0.541,1.339,11.340,5.000,-2.936,0
1981,4,22.933,18.622,18.094,10.151,10.062,2.031,0.623,9.623,17.999,16.060,0.531,1.411,11.240,4.920,-4.347,0
1981,5,23.333,19.012,18.232,10.203,10.141,2.054,0.472,9.741,18.540,16.181,0.781,1.581,11.120,4.790,-5.197,0
1981,6,23.901,18.993,18.143,10.384,10.302,2.461,0.541,9.774,18.451,15.679,0.860,1.919,11.210,4.900,-3.409,0
1981,7,22.822,18.832,17.923,10.023,9.984,2.041,0.121,9.482,18.701,15.889,0.899,1.909,11.230,4.930,-3.589,0
1981,8,21.512,19.173,18.432,10.512,10.433,2.421,0.853,10.013,18.330,16.010,0.741,1.581,11.180,4.870,-3.048,0
1981,9,23.051,19.321,18.763,10.843,10.751,2.733,1.552,10.433,17.769,16.030,0.561,1.181,11.210,4.880,-1.368,0
1981,10,23.563,19.072,18.524,10.633,10.561,2.602,1.211,10.141,17.861,15.919,0.551,1.391,11.510,5.180,-3.468,0
1981,11,25.331,19.701,18.944,11.273,11.224,3.491,1.703,10.702,18.009,15.449,0.761,1.801,11.260,4.930,-3.287,0
1981,12,24.321,19.354,18.563,10.981,10.922,3.291,1.181,10.262,18.169,15.269,0.791,2.110,11.230,4.920,-4.337,0
1982,1,22.904,18.983,18.061,10.322,10.262,2.461,0.633,9.803,18.340,15.600,0.919,1.831,11.230,4.900,-4.439,0
1982,2,21.453,18.681,17.884,9.921,9.833,1.772,0.141,9.413,18.530,16.109,0.791,1.631,11.370,5.020,-5.446,0
1982,3,22.064,18.724,18.061,10.203,10.072,2.083,0.751,9.731,17.959,15.971,0.659,1.329,11.370,4.960,-2.539,0
1982,4,23.133,18.642,18.143,10.292,10.213,2.283,0.732,9.682,17.910,15.860,0.499,1.549,11.260,4.940,-3.389,0
1982,5,23.363,18.343,17.694,9.961,9.911,2.123,0.361,9.354,17.969,15.581,0.640,1.749,11.260,4.930,-4.268,0
1982,6,22.474,18.481,17.612,9.961,9.902,2.182,0.341,9.413,18.130,15.440,0.869,1.831,11.240,4.940,-4.747,0
1982,7,22.162,18.363,17.484,10.013,9.961,2.441,0.551,9.462,17.808,15.039,0.879,1.890,11.290,4.990,-4.777,0
1982,8,21.923,18.343,17.572,9.993,9.941,2.313,0.643,9.491,17.700,15.259,0.771,1.670,11.310,5.010,-4.488,0
1982,9,22.382,18.812,18.281,10.571,10.482,2.684,1.322,10.072,17.490,15.600,0.541,1.362,11.300,4.990,-2.507,0
1982,10,22.021,19.111,18.514,10.571,10.492,2.484,1.112,10.112,17.999,16.030,0.610,1.371,11.290,4.970,-2.717,0
1982,11,23.543,19.521,18.711,10.902,10.843,2.972,1.083,10.302,18.442,15.751,0.810,1.880,11.260,4.940,-3.028,0
1982,12,23.291,20.108,19.098,11.296,11.248,3.399,1.168,10.638,18.940,15.699,1.010,2.231,11.220,4.880,-4.167,0
1983,1,24.344,20.072,19.101,11.273,11.191,3.291,1.211,10.643,18.848,15.810,0.971,2.070,11.270,4.910,-3.497,0
1983,2,23.501,19.931,19.042,11.391,11.312,3.593,1.893,10.912,18.041,15.449,0.889,1.699,11.300,4.980,-3.527,0
1983,3,23.143,19.344,18.691,10.633,10.522,2.352,1.073,10.203,18.271,16.339,0.640,1.280,11.280,4.920,-2.398,0
1983,4,21.473,18.593,17.913,10.174,10.082,2.241,0.702,9.642,17.890,15.669,0.669,1.539,11.280,4.970,-3.169,0
1983,5,21.611,18.602,17.792,10.341,10.282,2.782,0.873,9.741,17.730,15.010,0.810,1.909,11.280,4.950,-3.028,0
1983,6,22.064,18.533,17.612,10.243,10.194,2.772,0.761,9.642,17.779,14.849,0.919,2.011,11.260,4.950,-3.409,0
1983,7,22.631,18.661,17.723,10.302,10.253,2.782,0.892,9.774,17.769,14.941,0.942,1.890,11.150,4.850,-3.678,0
1983,8,23.094,18.924,18.022,10.522,10.423,2.831,1.152,10.043,17.769,15.190,0.899,1.680,11.180,4.860,-4.177,0
1983,9,22.943,18.901,18.163,10.482,10.413,2.651,1.191,10.052,17.710,15.509,0.741,1.460,11.210,4.900,-4.127,0
1983,10,22.723,19.222,18.573,10.823,10.781,2.992,1.512,10.371,17.700,15.571,0.650,1.480,11.230,4.910,-3.707,0
1983,11,23.661,19.961,19.144,11.352,11.312,3.481,1.762,10.863,18.199,15.659,0.830,1.719,11.320,5.000,-2.398,0
1983,12,21.952,18.871,17.831,10.174,10.141,2.441,0.361,9.613,18.510,15.390,1.030,2.080,11.200,4.910,-4.616,0
1984,1,22.392,19.081,18.163,10.561,10.531,2.904,0.781,9.931,18.301,15.249,0.919,2.119,11.240,4.900,-4.718,0
1984,2,23.992,19.321,18.432,10.883,10.804,3.173,1.342,10.331,17.979,15.259,0.889,1.831,11.200,4.860,-3.598,0
1984,3,23.632,18.993,18.461,10.732,10.623,2.792,1.493,10.243,17.500,15.669,0.531,1.289,11.260,4.900,-3.158,0
1984,4,23.562,18.691,18.114,10.423,10.351,2.602,1.224,9.961,17.470,15.509,0.581,1.371,11.270,4.940,-3.748,0
1984,5,22.172,18.481,17.641,10.112,10.072,2.513,0.643,9.564,17.831,15.131,0.840,1.870,11.340,4.980,-3.858,0
1984,6,21.411,18.563,17.631,10.243,10.213,2.802,0.722,9.642,17.841,14.829,0.928,2.080,11.220,4.910,-2.336,0
1984,7,21.812,18.701,17.792,10.174,10.112,2.431,0.433,9.573,18.261,15.361,0.909,2.001,11.160,4.870,-3.748,0
1984,8,22.562,18.891,18.123,10.292,10.223,2.323,0.804,9.852,18.091,15.801,0.771,1.519,11.180,4.880,-4.178,0
1984,9,23.442,19.091,18.442,10.682,10.604,2.762,1.152,10.121,17.940,15.679,0.659,1.611,11.200,4.880,-3.928,0
1984,10,23.892,18.924,18.314,10.781,10.732,3.143,1.411,10.161,17.510,15.161,0.610,1.739,11.200,4.880,-4.728,0
1984,11,24.292,19.222,18.442,10.942,10.902,3.373,1.424,10.322,17.799,15.069,0.781,1.949,11.210,4.910,-3.228,0
1984,12,21.502,18.802,17.782,10.502,10.482,3.173,1.043,9.921,17.759,14.610,1.020,2.139,11.230,4.920,-3.988,0
1985,1,22.332,19.232,18.192,10.932,10.902,3.612,1.512,10.371,17.710,14.580,1.040,2.100,11.270,4.910,-1.738,0
1985,2,21.222,18.763,17.913,10.102,10.033,2.162,0.351,9.554,18.419,15.751,0.850,1.811,11.170,4.870,-4.648,0
1985,3,23.352,18.333,17.684,10.203,10.161,2.641,0.922,9.633,17.411,15.039,0.650,1.709,11.250,4.920,-3.758,0
1985,4,23.772,18.412,17.802,10.131,10.072,2.352,0.581,9.501,17.831,15.449,0.610,1.768,11.220,4.920,-4.888,0
1985,5,22.932,18.422,17.592,9.931,9.872,2.142,0.282,9.354,18.140,15.449,0.830,1.860,11.220,4.900,-5.428,0
1985,6,22.943,18.622,17.612,10.112,10.092,2.582,0.341,9.482,18.281,15.030,1.010,2.241,11.200,4.910,-3.629,0
1985,7,21.283,18.432,17.402,9.902,9.892,2.382,0.174,9.301,18.271,15.020,1.030,2.211,11.230,4.930,-3.419,0
1985,8,21.024,18.383,17.543,9.882,9.833,2.123,0.282,9.331,18.100,15.420,0.840,1.841,11.240,4.930,-3.366,0
1985,9,22.123,18.402,17.694,9.993,9.921,2.142,0.673,9.541,17.720,15.551,0.709,1.470,11.240,4.910,-3.648,0
1985,10,24.032,18.711,17.982,10.371,10.302,2.631,0.942,9.823,17.769,15.361,0.719,1.690,11.180,4.860,-4.239,0
1985,11,23.022,17.982,17.132,9.762,9.712,2.302,0.182,9.082,17.789,14.829,0.850,2.119,11.210,4.890,-5.388,0
1985,12,23.094,18.973,17.992,10.741,10.692,3.383,1.014,9.993,17.949,14.610,0.971,2.369,11.160,4.820,-4.377,0
1986,1,23.432,19.774,18.802,11.371,11.312,3.822,1.673,10.722,18.100,14.970,0.971,2.149,11.180,4.860,-2.989,0
1986,2,21.893,19.012,18.081,10.463,10.394,2.703,0.951,9.984,18.051,15.371,0.928,1.749,11.240,4.910,-2.969,0
1986,3,23.304,19.012,18.212,10.463,10.361,2.503,0.922,9.974,18.091,15.699,0.810,1.581,11.170,4.840,-2.717,0
1986,4,22.963,18.153,17.484,9.892,9.833,2.172,0.394,9.272,17.759,15.322,0.659,1.768,11.170,4.850,-4.649,0
1986,5,22.841,18.143,17.402,9.984,9.951,2.503,0.502,9.321,17.651,14.902,0.741,2.001,11.180,4.870,-4.547,0
1986,6,22.182,18.232,17.293,9.974,9.921,2.552,0.472,9.354,17.759,14.731,0.942,2.080,11.170,4.860,-4.157,0
1986,7,21.634,17.923,16.942,9.803,9.783,2.631,0.561,9.242,17.359,14.311,0.991,2.070,11.270,4.960,-4.308,0
1986,8,21.243,18.314,17.421,10.131,10.112,2.812,0.951,9.633,17.359,14.610,0.889,1.860,11.280,4.960,-4.219,0
1986,9,21.873,18.182,17.474,9.902,9.843,2.201,0.673,9.423,17.510,15.269,0.699,1.539,11.190,4.890,-2.589,0
1986,10,22.162,18.832,18.123,10.482,10.404,2.694,1.171,10.003,17.661,15.430,0.709,1.519,11.220,4.880,-3.077,0
1986,11,23.602,19.154,18.241,10.702,10.673,3.104,1.043,10.092,18.110,15.151,0.909,2.060,11.210,4.890,-3.497,0
1986,12,24.452,19.902,18.783,11.273,11.234,3.681,1.263,10.581,18.629,15.098,1.109,2.421,11.220,4.900,-4.406,0
1987,1,24.672,19.984,18.924,11.243,11.191,3.471,1.142,10.561,18.839,15.440,1.060,2.329,11.220,4.900,-3.307,0
1987,2,22.963,19.291,18.383,10.902,10.843,3.304,1.522,10.413,17.759,15.079,0.909,1.781,11.290,4.960,-4.386,0
1987,3,22.782,19.012,18.304,10.423,10.331,2.362,0.892,9.951,18.120,15.942,0.709,1.460,11.260,4.940,-3.077,0
1987,4,23.104,18.783,17.982,10.443,10.394,2.802,1.033,9.911,17.740,15.180,0.801,1.768,11.240,4.920,-2.149,0
1987,5,22.283,18.442,17.523,10.272,10.253,2.972,0.843,9.642,17.598,14.541,0.919,2.129,11.180,4.870,-3.209,0
1987,6,22.743,18.622,17.612,10.522,10.492,3.373,1.161,9.892,17.461,14.239,1.010,2.211,11.220,4.910,-3.517,0
1987,7,22.211,18.222,17.231,9.951,9.902,2.572,0.541,9.383,17.680,14.659,0.991,2.021,11.190,4.900,-4.429,0
1987,8,22.011,18.241,17.264,9.823,9.751,2.231,0.604,9.423,17.651,15.030,0.981,1.640,11.210,4.910,-4.957,0
1987,9,22.674,18.901,18.061,10.561,10.502,2.933,1.332,10.112,17.569,15.141,0.830,1.601,11.230,4.910,-3.599,0
1987,10,23.123,18.973,18.241,10.791,10.761,3.271,1.601,10.282,17.369,14.970,0.732,1.670,11.230,4.920,-2.297,0
1987,11,22.474,19.432,18.491,10.961,10.942,3.383,1.473,10.453,17.969,15.112,0.951,1.909,11.200,4.880,-2.326,0
1987,12,22.461,19.301,18.192,10.823,10.833,3.461,1.171,10.243,18.130,14.731,1.109,2.290,11.200,4.920,-3.878,0
1988,1,24.072,19.042,18.071,10.771,10.741,3.412,1.211,10.131,17.831,14.649,0.971,2.201,11.260,4.940,-3.547,0
